query,tweet_date,username,name,text,url,translated_text,CLASSIFICACAO
Morbius trailer,28 Feb 2022,@GilaFilmID,GilaFilmID,"Ntar kalo diundur lagi, tinggal rilis 'Final Trailer B' #Morbius #Morbiustrailer",https://nitter.net/GilaFilmID/status/1498446171735740417#m,"Later, if it's postponed again, just release 'Final Trailer B' #Morbius #Morbiustrailer",0
Morbius trailer,28 Feb 2022,@DOReviewMovies,DO Review Movies,Trailer: Morbius from Sony Pictures in Theaters April 1 doreviewmovies.com/2022/02/2…,https://nitter.net/DOReviewMovies/status/1498445864209104898#m,Trailer: Morbius from Sony Pictures in Theaters April 1 doreviewmovies.com/2022/02/2…,0
Morbius trailer,28 Feb 2022,@MCU_Fanatics,MCU Fanatics,The final trailer for Morbius is sparking conversation. dlvr.it/SKqp27,https://nitter.net/MCU_Fanatics/status/1498444668949782528#m,The final trailer for Morbius is sparking conversation. dlvr.it/SKqp27,0
Morbius trailer,28 Feb 2022,@MZilla1954,M Zilla1954,Did you know that Horizon shown in the #Morbius final trailer is a company that creates advanced technology and in the comics #SpiderMan uses resources at Horizon to create new suits like the stealth suit and the Spider-Armor suit.,https://nitter.net/MZilla1954/status/1498444169836052480#m,Did you know that Horizon shown in the #Morbius final trailer is a company that creates advanced technology and in the comics #SpiderMan uses resources at Horizon to create new suits like the stealth suit and the Spider-Armor suit.,0
Morbius trailer,28 Feb 2022,@thetipbrat,The Tipbrat,Just watched the final trailer for Marvel's 'Morbius'....mehn it's mind blowing🤗,https://nitter.net/thetipbrat/status/1498444101066403842#m,Just watched the final trailer for Marvel's 'Morbius'....mehn it's mind blowing🤗,1
Morbius trailer,28 Feb 2022,@filmes_e_filmes,Filmes & Filmes,"A @SonyPictures divulgou o trailer final de ""Morbius"", novo longa do universo do Homem-Aranha estrelado por Jared Leto. Dirigido por Daniel Espinosa, o filme estreia dia 31 de março nos cinemas brasileiros.🔥🎬 #morbius #sonypictures #jaredleto",https://nitter.net/filmes_e_filmes/status/1498444086696726529#m,"@SonyPictures has released the final trailer for ""Morbius"", the new feature film in the Spider-Man universe starring Jared Leto. Directed by Daniel Espinosa, the film opens on March 31st in Brazilian cinemas.🔥🎬 #morbius #sonypictures #jaredleto",0
Morbius trailer,28 Feb 2022,@Spelochfilmse,Spelochfilm.se,Morbius visar sin sista trailer bloglovin.com/blogs/spel-och… on @bloglovin,https://nitter.net/Spelochfilmse/status/1498443923307606019#m,Morbius shows his final trailer bloglovin.com/blogs/spel-och… on @bloglovin,0
Morbius trailer,28 Feb 2022,@PopularTripe,Popular Tripe,"MORBIUS: FINAL TRAILER REACTION, Review & Thoughts! Was ready to veto because of Leto, hoped this trailer was going to change my mind! Did it? I’m guessing the thumbnail might’ve given the answer away… Hit the link to find out! #Morbius #Marvel #Spiderman piped.video/yuwTNvMm3Iw",https://nitter.net/PopularTripe/status/1498443676162437124#m,"MORBIUS: FINAL TRAILER REACTION, Review & Thoughts! Was ready to veto because of Leto, hoped this trailer was going to change my mind! Did it? I’m guessing the thumbnail might’ve given the answer away… Hit the link to find out! #Morbius #Marvel #Spiderman piped.video/yuwTNvMm3Iw",0
Morbius trailer,28 Feb 2022,@TheGossipMash,The Gossip Mash,MORBIUS Final Trailer (2022) thegossipmash.com/morbius-fi… #movies #movietrailers #celebritynews #movierecommendations,https://nitter.net/TheGossipMash/status/1498443548244516866#m,MORBIUS Final Trailer (2022) thegossipmash.com/morbius-fi… #movies #movietrailers #celebritynews #movierecommendations,0
Morbius trailer,28 Feb 2022,@mty_360,MTY360™,#JaredLeto se transforma en un vampiro sediento de sangre en el tráiler final de #Morbius mty360.net/cultura/cine/morb…,https://nitter.net/mty_360/status/1498442985645568000#m,#JaredLeto transforms into a bloodthirsty vampire in the final trailer for #Morbius mty360.net/cultura/cine/morb…,0
Morbius trailer,28 Feb 2022,@Cult_Faction,Cult Faction,Morbius final trailer released piped.video/watch?v=SQK-Qxxt… cultfaction.com/2022/03/01/m…,https://nitter.net/Cult_Faction/status/1498442243522412551#m,Morbius final trailer released piped.video/watch?v=SQK-Qxxt… cultfaction.com/2022/03/01/m…,0
Morbius trailer,28 Feb 2022,@ComicOutlook,Comic Book Outlook,"Watch ""MORBIUS - Final Trailer (HD)"" buff.ly/3McCGLF #Morbius #Marvel #Sony",https://nitter.net/ComicOutlook/status/1498440473840599043#m,"Watch ""MORBIUS - Final Trailer (HD)"" buff.ly/3McCGLF #Morbius #Marvel #Sony",0
Morbius trailer,28 Feb 2022,@TomatazosCom,@TomatazosCom,"Morbius, con Jared Leto, presenta nuevo tráiler oficial bit.ly/3stCakB",https://nitter.net/TomatazosCom/status/1498440378776698881#m,"Morbius, con Jared Leto, presenta nuevo tráiler oficial bit.ly/3stCakB",0
Morbius trailer,28 Feb 2022,@TheKiwiKingdom_,Kiwi TKK,"Matt's Trending because he is in the movie - Morbius, and he appeared quite a bit in the trailer that aired a few hours ago",https://nitter.net/TheKiwiKingdom_/status/1498440306429157377#m,"Matt's Trending because he is in the movie - Morbius, and he appeared quite a bit in the trailer that aired a few hours ago",1
Morbius trailer,28 Feb 2022,@HorrorCultFilms,HorrorCultFilms,Final Trailer and Lore Vignette Revealed For MORBIUS #Morbius horrorcultfilms.co.uk/2022/0…,https://nitter.net/HorrorCultFilms/status/1498440169141252097#m,Final Trailer and Lore Vignette Revealed For MORBIUS #Morbius horrorcultfilms.co.uk/2022/0…,0
Morbius trailer,28 Feb 2022,@MZilla1954,M Zilla1954,Also I would like to apologize for not making a reaction video for the #Morbius trailer. I’ve been super busy lately and I didn’t have time so again sorry.,https://nitter.net/MZilla1954/status/1498439697365749762#m,Also I would like to apologize for not making a reaction video for the #Morbius trailer. I’ve been super busy lately and I didn’t have time so again sorry.,1
